episode_id,timestamp,scenario_id,flow_id,source,destination,rate_mbps,throughput_mbps,delay_ms,packet_loss,sla_violation_risk,sla_violation,max_link_utilization,max_queue_delay_ms
episode_0003,5,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0
episode_0003,5,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0003,5,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0004,0,shared_bottleneck,f1,n1,n4,15.0,15.0,15.0,0.0,0.0,False,0.0,0.0
episode_0004,0,shared_bottleneck,f2,n1,n4,20.0,20.0,15.0,0.0,0.0,False,0.0,0.0
episode_0004,0,shared_bottleneck,f3,n2,n6,10.0,10.0,25.0,0.0,0.0,False,0.0,0.0
episode_0004,1,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0
episode_0004,1,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0004,1,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0004,2,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0
episode_0004,2,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0004,2,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0004,3,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0
episode_0004,3,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0004,3,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0004,4,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0
episode_0004,4,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0004,4,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0004,5,shared_bottleneck,f1,n1,n4,15.0,12.0,57.0,0.06,1.0,True,1.0,41.0
episode_0004,5,shared_bottleneck,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0004,5,shared_bottleneck,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0005,0,background_surge,f1,n1,n4,15.0,14.0,25.0,0.01,0.15,False,0.0,0.0
episode_0005,0,background_surge,f2,n1,n4,20.0,20.0,15.0,0.0,0.0,False,0.0,0.0
episode_0005,0,background_surge,f3,n2,n6,45.0,38.0,65.0,0.06,0.65,False,0.92,30.0
episode_0005,1,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0005,1,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0005,1,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0005,2,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0005,2,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0005,2,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0005,3,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0005,3,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0005,3,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0005,4,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0005,4,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0005,4,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0005,5,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0005,5,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0005,5,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0006,0,background_surge,f1,n1,n4,15.0,14.0,25.0,0.01,0.15,False,0.0,0.0
episode_0006,0,background_surge,f2,n1,n4,20.0,20.0,15.0,0.0,0.0,False,0.0,0.0
episode_0006,0,background_surge,f3,n2,n6,45.0,38.0,65.0,0.06,0.65,False,0.92,30.0
episode_0006,1,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0006,1,background_surge,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0006,1,background_surge,f3,n2,n6,45.0,40.5,48.6667,0.02,0.6083,False,0.9,27.6667
episode_0006,2,background_surge,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
