episode_id,timestamp,scenario_id,flow_id,source,destination,rate_mbps,throughput_mbps,delay_ms,packet_loss,sla_violation_risk,sla_violation,max_link_utilization,max_queue_delay_ms,target_sla_violation_next_step
episode_0005,3,normal,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667,False
episode_0005,4,normal,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667,False
episode_0005,0,normal,f2,n1,n4,20.0,20.0,15.0,0.0,0.0,False,0.2,1.0,False
episode_0005,1,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0,False
episode_0005,2,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0,False
episode_0005,3,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0,False
episode_0005,4,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0,False
episode_0005,0,normal,f3,n2,n6,10.0,10.0,15.0,0.0,0.0,False,0.2,1.0,False
episode_0005,1,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0,False
episode_0005,2,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0,False
episode_0005,3,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0,False
episode_0005,4,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0,False
episode_0006,0,normal,f1,n1,n4,18.0,18.0,15.0,0.0,0.0,False,0.2,1.0,False
episode_0006,1,normal,f1,n1,n4,18.0,16.2,43.6667,0.02,0.8733,False,0.9,27.6667,False
episode_0006,2,normal,f1,n1,n4,18.0,16.2,43.6667,0.02,0.8733,False,0.9,27.6667,False
episode_0006,3,normal,f1,n1,n4,18.0,16.2,43.6667,0.02,0.8733,False,0.9,27.6667,False
episode_0006,4,normal,f1,n1,n4,18.0,16.2,43.6667,0.02,0.8733,False,0.9,27.6667,False
episode_0006,0,normal,f2,n1,n4,25.0,25.0,15.0,0.0,0.0,False,0.2,1.0,False
episode_0006,1,normal,f2,n1,n4,25.0,25.0,17.0,0.0,0.2833,False,0.25,1.0,False
episode_0006,2,normal,f2,n1,n4,25.0,25.0,17.0,0.0,0.2833,False,0.25,1.0,False
episode_0006,3,normal,f2,n1,n4,25.0,25.0,17.0,0.0,0.2833,False,0.25,1.0,False
episode_0006,4,normal,f2,n1,n4,25.0,25.0,17.0,0.0,0.2833,False,0.25,1.0,False
episode_0006,0,normal,f3,n2,n6,12.0,12.0,15.0,0.0,0.0,False,0.2,1.0,False
episode_0006,1,normal,f3,n2,n6,12.0,12.0,22.0,0.0,0.275,False,0.24,1.0,False
episode_0006,2,normal,f3,n2,n6,12.0,12.0,22.0,0.0,0.275,False,0.24,1.0,False
episode_0006,3,normal,f3,n2,n6,12.0,12.0,22.0,0.0,0.275,False,0.24,1.0,False
episode_0006,4,normal,f3,n2,n6,12.0,12.0,22.0,0.0,0.275,False,0.24,1.0,False
episode_0007,0,normal,f1,n1,n4,10.0,10.0,15.0,0.0,0.0,False,0.2,1.0,False
episode_0007,1,normal,f1,n1,n4,10.0,10.0,17.0,0.0,0.34,False,0.5,1.0,False
episode_0007,2,normal,f1,n1,n4,10.0,10.0,17.0,0.0,0.34,False,0.5,1.0,False
episode_0007,3,normal,f1,n1,n4,10.0,10.0,17.0,0.0,0.34,False,0.5,1.0,False
episode_0007,4,normal,f1,n1,n4,10.0,10.0,17.0,0.0,0.34,False,0.5,1.0,False
episode_0007,0,normal,f2,n1,n4,15.0,15.0,15.0,0.0,0.0,False,0.2,1.0,False
episode_0007,1,normal,f2,n1,n4,15.0,15.0,17.0,0.0,0.2833,False,0.15,1.0,False
episode_0007,2,normal,f2,n1,n4,15.0,15.0,17.0,0.0,0.2833,False,0.15,1.0,False
episode_0007,3,normal,f2,n1,n4,15.0,15.0,17.0,0.0,0.2833,False,0.15,1.0,False
episode_0007,4,normal,f2,n1,n4,15.0,15.0,17.0,0.0,0.2833,False,0.15,1.0,False
episode_0007,0,normal,f3,n2,n6,8.0,8.0,15.0,0.0,0.0,False,0.2,1.0,False
episode_0007,1,normal,f3,n2,n6,8.0,8.0,22.0,0.0,0.275,False,0.16,1.0,False
